################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.9586730610081425E+01 a       353     0    23     1     1
  1.2374118115294158E+02 a       354     0    23     1     2
  5.3258054367183519E+01 a       355     0    23     1     3
 -5.1197600492025899E+01 a       356     0    23     1     4
 -4.8249361332789434E+01 a       357     0    23     1     5
 -5.4818938108719081E+01 a       358     0    23     1     6
  4.6622315293098765E+01 a       359     0    23     1     7
 -5.0340436289751658E+01 a       360     0    23     1     8
 -2.9629805322422616E+01 a       361     0    23     1     9
 -4.9095114655483918E+01 a       362     0    23     1    10
 -1.0860044984774664E+01 a       363     0    23     1    11
 -8.0713063616194081E+00 a       364     0    23     1    12
  4.8021978207317154E+01 a       365     0    23     1    13
  4.0127358831385855E+01 a       366     0    23     1    14
  1.1941429742918866E+02 a       367     0    23     1    15
 -3.1189115772903705E+01 a       368     0    23     1    16
  1.5890239508606093E+01 a       369     0    24     1     1
  3.4378131814587998E-01 a       370     0    24     1     2
 -1.6602108004172312E+01 a       371     0    24     1     3
 -2.9685630670872065E+00 a       372     0    24     1     4
 -5.6519190664794181E+01 a       373     0    24     1     5
 -1.2615257058303062E+00 a       374     0    24     1     6
  7.4046999661725849E+01 a       375     0    24     1     7
 -3.4516829971690570E+00 a       376     0    24     1     8
 -3.8455691210861758E+01 a       377     0    24     1     9
 -2.3867559993856464E+01 a       378     0    24     1    10
  1.7261164950349193E+00 a       379     0    24     1    11
  4.9322783939302184E+00 a       380     0    24     1    12
  2.6688961754737115E+01 a       381     0    24     1    13
  4.5753827406467895E+00 a       382     0    24     1    14
  4.5772277299654625E+01 a       383     0    24     1    15
 -3.5474908475029295E+01 a       384     0    24     1    16
  7.4541081804529989E+00 a       385     0    25     1     1
  1.3310468039645629E+00 a       386     0    25     1     2
 -1.6929823182778787E+00 a       387     0    25     1     3
  3.7607300470310685E+00 a       388     0    25     1     4
  2.5690198514101281E-01 a       389     0    25     1     5
 -3.1038383083437968E+00 a       390     0    25     1     6
 -5.1254586667115056E+00 a       391     0    25     1     7
 -2.0401490842610772E+00 a       392     0    25     1     8
  2.9803763213081869E+00 a       393     0    25     1     9
 -1.2920100901347931E+00 a       394     0    25     1    10
 -4.6193491735951984E+00 a       395     0    25     1    11
  3.1428034419807318E+00 a       396     0    25     1    12
 -1.4783348656530890E+00 a       397     0    25     1    13
  2.9292729317652166E+00 a       398     0    25     1    14
  2.6357913697305992E+00 a       399     0    25     1    15
  5.8056715698022521E-01 a       400     0    25     1    16
  6.8469305742548938E+00 a       401     0    26     1     1
  1.7329906341215107E+01 a       402     0    26     1     2
  7.3846006847265002E+00 a       403     0    26     1     3
 -7.5645818990342777E+00 a       404     0    26     1     4
  2.0096084184187140E+00 a       405     0    26     1     5
  1.1837380801163030E-01 a       406     0    26     1     6
  6.2027654882811385E+00 a       407     0    26     1     7
 -7.2534500092059206E-01 a       408     0    26     1     8
  7.3515871351148263E+00 a       409     0    26     1     9
 -2.0709896709986864E-01 a       410     0    26     1    10
  9.8749182682675607E-01 a       411     0    26     1    11
  8.4530061720069245E+00 a       412     0    26     1    12
 -3.5193827390808896E+00 a       413     0    26     1    13
  5.2535123316952355E+00 a       414     0    26     1    14
  1.3920576872624194E+01 a       415     0    26     1    15
 -3.9868607858424321E+00 a       416     0    26     1    16
  6.0587955026544185E+00 a       417     0    27     1     1
  4.4742623708377858E+00 a       418     0    27     1     2
  1.8780658551907987E+00 a       419     0    27     1     3
 -7.3789166703274081E+00 a       420     0    27     1     4
  2.7078905873961157E+00 a       421     0    27     1     5
 -8.4458950757615925E-01 a       422     0    27     1     6
  1.8935067078219220E+01 a       423     0    27     1     7
  3.2322361310768786E+00 a       424     0    27     1     8
  4.4134970703826495E+00 a       425     0    27     1     9
 -4.0872913910036877E+00 a       426     0    27     1    10
 -2.4547649918335024E+00 a       427     0    27     1    11
  4.5752175556359767E+00 a       428     0    27     1    12
  5.8476022597782151E+00 a       429     0    27     1    13
 -5.0009408430521241E-01 a       430     0    27     1    14
  4.4928192949978536E+00 a       431     0    27     1    15
  2.2583437522252643E+00 a       432     0    27     1    16
 -7.4470930722995832E-01 a       433     0    28     1     1
 -1.7190939686426383E+00 a       434     0    28     1     2
 -3.0081669548817458E+00 a       435     0    28     1     3
